,text,sentiment,value
38,soooooo sleeeeepy last day school today .... sniffle ....,negative,-1
39,A little happy wine jeje ok sm free time cares jaja love day,positive,1
40,Car happy big big dent boot Hoping theyre going write crossing fingers waiting,neutral,0
41,im avid fan magazine love magazines,positive,1
42,MAYDAY,neutral,0
43,RATT ROCKED NASHVILLE TONITE .. ONE THING SUCKED NO ENCORE LIKE IN THE 80 S THEY STILL HAVE A FUN SHOW PEARCY HAS THAT HOTT BAD BOY LOOK,neutral,0
44,I love But I available 5pm dear Would love help convert vids.ï¿½,positive,1
45,The girl hair salon asked 'Shall I trim eyebrows How old I feel,neutral,0
46,egh blah boooooooooooo dunno wan na go work HANGOVERS SUCKKKKKK Im drunk mess,negative,-1
47,visiting friendster facebook,neutral,0
48,donbt like peel prawns also dont like going shopping running money crawling round car looking,negative,-1
49,case I got new one last week I thrilled mine,negative,-1
50,Then check http //twittersucks.com connect tweeple hate twitter,neutral,0
51,also bored school third freelesson freistunde,neutral,0
52,hm ... Both us I guess ...,neutral,0
53,... u dissappointed past days,negative,-1
54,romance zero funny,positive,1
55,I rather early run .. I morning runner,neutral,0
56,Bah coworker ran work late bag smacked knee really hurts,negative,-1
57,back later http //plurk.com/p/rp3k7,neutral,0
58,Aw Torn ace hearts Hunchback,negative,-1
59,fun speaking,neutral,0
60,lost friends alone sleepy .. wan na go home,negative,-1
61,haha yes,neutral,0
62,I give easily,negative,-1
63,What better way spoil mum let kick back relax nice meal bottle favorite wine Our wine red,positive,1
64,mannnn ..... got iphone im jealous .... http //bit.ly/NgnaR,negative,-1
65,Is photoshoot,neutral,0
66,He awesome ... Have worked He good friend,positive,1
67,Yay playing show tonight Boo gon na soggy I work right playing,neutral,0
68,Chilliin,positive,1
69,If know agent let know,neutral,0
70,I still smell smoke kitchenfire,neutral,0
71,celtics-lakers rematch sounds better think lol,positive,1
72,Anyone extra Keane ticket I promise buy drink take rad pics FB Blog Flickr. etc,neutral,0
73,'you ride one catch one summer til pop open one,neutral,0
74,good gor-juz yea kno asked yesterday tha hospital talked u said,neutral,0
75,OK I Just popped say Hi check things I probably head guttah later tonight,neutral,0
76,WOW AM REALLY MiSSiN THE FAM iLY TODAY BADDD,negative,-1
77,My sources say,neutral,0
78,I sooo tired,negative,-1
79,Hey change twitter account even tell ...,neutral,0
80,THANK YYYYYYYYYOOOOOOOOOOUUUUU,positive,1
81,lucky kid ... wan na see loserville pity im oz ....,positive,1
82,fell asleep waiting ride,neutral,0
83,Sick With flu like thing,negative,-1
84,Still reply SimFinger problem So iRape parody video I get response sorry guys,negative,-1
85,Happy Star Wars day everyone Enjoy holiday UK,positive,1
86,Miles I Essex give plenty warning I arrive time get least one free beers,neutral,0
87,His snoring annoying n keeps sleeping like right lol I honestly wud miss eva left I love,neutral,0
88,miss bby wish going tomorrow make good,negative,-1
89,Well im working QUITE ready post publicly still beta testing cool new script I coded,positive,1
90,SWEEEEET San Fran awesome Love,positive,1
91,_Mounce yes lasts way past bedtime,neutral,0
92,Hi joined twitter ...,neutral,0
93,waiting sleeping pills kick ... gon na tired work tomorrow,negative,-1
94,eating ice cream getting ready graduation,neutral,0
95,Happy Mothers day Mums,positive,1
96,CASEY S GONE BUT WHY So piddled little carpet She prolly freaked cause new Can get back,negative,-1
97,hemp cloth marvelous unfortunately,negative,-1
98,Gon na read story bout adam lambert online bed Nighty night,neutral,0
99,We saw none 3D baddie best,positive,1
100,4am And Im beach Pretty,positive,1
101,Certainly Cheers huh,neutral,0
102,1 week post my'horrible traumatic jumping cholla accident '-cholla next dirty trick pieces starting emerge hand Ouch,negative,-1
103,realy wanted go cause nice everybodys busy,negative,-1
104,Awesome I Ocean Beach know By way 'YourBiggestFan I re-al big fan you-rs,positive,1
105,least I get watch time Let go Pens,neutral,0
106,cool wear black time go,neutral,0
107,haha I know work blip apart obvious thanks reblipping song nice day,positive,1
108,safe trip joshy poo ....... knock dead speech,positive,1
109,woof I wish I allowed go,positive,1
110,u friendster add email adress add loco_crime_1st.com add leave comment,neutral,0
111,tickets .......,neutral,0
112,Thank Afrin Nasal Spray Also I got giant teacup tonight,positive,1
113,ACSM unfathomable think one .. .. one kept comfort bedrooms yes,neutral,0
114,Aww I love daddy He works 7 days week almost day still tries go SF us,positive,1
115,So many tests todayyy I feel confident anyy,negative,-1
116,graduation done im little sad .. anyone want hang,negative,-1
117,hahaa awesomee,positive,1
118,holy smokes star trek freaking awesomeeeee,positive,1
119,I hate Fallout 3 keeps making jump I also low health money ammo food worry I get,neutral,0
120,I On itunes I lost songs,neutral,0
121,What gloomy weather The sun must tired come play heading victoria gardens impulse buys haha,neutral,0
122,Not looking forward next week Maths Geography English French exams totalling 7 hours,negative,-1
123,Poor Get outside sleep garden sun good But forget suncream,negative,-1
124,well,negative,-1
125,Not prob hun,positive,1
126,dads watching mtv going sims2 minutee,neutral,0
127,Absolutely,neutral,0
128,matter chickadee,neutral,0
129,hey mia totally adore music cd,positive,1
130,Shopping Cleaning BMFing Webcam chatting nephews Nothing spesh good bank holiday Monday nonetheless,positive,1
131,=O need ask something Lmao I love,positive,1
132,splinters look painful ... heroic saving mr. Pickle,negative,-1
133,sad,negative,-1
134,Nice see tweeting It Sunday 10th May celebrating Mother Day today So nice yer Mom,positive,1
135,decided 2 trans frm relaxed 2 natural hair wish whole head looked like roots Age instant gratification ....,positive,1
136,Namaskar Namaste r Marathi people say Namaskar marathi word .... ... naaaah,neutral,0
137,Congrats I cuss like matter minutes But know reward,neutral,0
138,Humous Dorito .... Oh yes,neutral,0
139,missed awesome weather movie,negative,-1
140,Today going normal day I hope We group pilots large airline come last night much drink,neutral,0
141,These kids terrible If I Good Evans I call Childline,negative,-1
142,Unfortunatley AerLingus longer fly Copenhagen fly Ryanair Billund drive Copenhagen one days,negative,-1
143,What sad I actually google term That sucks tho,negative,-1
144,Hate fighting,negative,-1
145,I watched I didnt want win put good fight .. lol,neutral,0
146,Car-warmed Sprite tastes like sore throat,negative,-1
147,Just came 11th cross country beat dumbo,neutral,0
148,Candle wax enjoyable,positive,1
149,She unassuming unpretentious She I suppose endearing -- relate,positive,1
150,tomorrow valeria lunch going get hair done im arraving late got cousins babtizm whatever spell,neutral,0
151,goooooddd morning tweets week three OF workout mention got new glasses yesterday,positive,1
152,I hate computer much ..,negative,-1
153,fine Going big walk today 20 miles,positive,1
154,I WANT RED CRUISERS like ones LMFAO,negative,-1
155,Mmmmmmmm ... morning,neutral,0
156,neither,neutral,0
157,Has 10 hours work Sunday Boo I find time two hour lunchbreak though Yeah,neutral,0
158,Bugger forgot I still washing machine,negative,-1
159,_Laurie sending love blessings healing thoughts family peace,positive,1
160,My back hurts ... really bad,negative,-1
161,ah yes I know feeling,neutral,0
162,Night cookers dad,neutral,0
163,My modem offline week ... God bless 3g network Tim left ... Again May schedule brutal,negative,-1
164,Nope I Coquitlam,neutral,0
165,Had parent teacher thing yesterday So boring going skl saturday lol,negative,-1
166,lichfield tweetup sounds like fun Hope see everyone else,positive,1
167,Big booming thunder storm almost Maybe go home early Ah ... probably,neutral,0
168,Few Bevvies 2day twn .. great day,positive,1
169,first night myers w/out lydia actually excited summer,positive,1
170,good morning,positive,1
171,best show EVER,positive,1
172,URL previous post timer job http //bit.ly/a4Fdb I removed space messed URL ^ES,negative,-1
173,think iv hurt tooth eilish cassie drawing competiton draw cookies pineapples haha L,neutral,0
174,I want know auditions Mander Text ... reply please,neutral,0
175,even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,-1
176,I miss neice wait see bad n grown Lol,negative,-1
177,need get computer fixed,neutral,0
178,really hopes car illness terminal ...,negative,-1
179,All cool people I want find following today English I guess English tweet,neutral,0
180,sir ... woulda put honey ...,neutral,0
181,watched X-men origins wolverine totally loved haha,positive,1
182,I VOTED u personal myspace keep talking fakes 3 u helped thru hrdest time life x,positive,1
183,I sad I missed guys last night,negative,-1
184,Finally got call marriage counseling 3 days late ....,neutral,0
185,ok,neutral,0
186,_420 baby,neutral,0
187,today last day high school ended going home sick ... stupid dead rats,negative,-1
188,We impromptu pool party ... Except I know swim I get,neutral,0
189,lost tooth 2day whilst eating gum ... oww,negative,-1
190,happy 1 year 3,positive,1
191,Oh I HELLA forgot say official good morning Like hear Here go Goooooooooooood Morrrrrrrrning Twitterville Lol,positive,1
192,phew Will make note case anyone else runs issueï¿½,neutral,0
193,WHAT ABOUT ME I VOTE EVERY DAY FOR YOU,negative,-1
194,I starving This diet killing I eat 8pm,negative,-1
195,talk,neutral,0
196,im soo bored ... im deffo missing music channels,negative,-1
197,nite nite bday girl fun concert,positive,1
198,Had nicotine replacement patch 4 hours So far good I sleep 4 hours Getting bit twitchy,neutral,0
199,_Sanderson What Twatter lately Either I get replies turn,neutral,0
200,sleeping lost voice couple day ago,negative,-1
201,http //twitpic.com/66xlm hate PARKED car gets hit,negative,-1
202,I heard fall I waiting,neutral,0
203,nightmares huggles,neutral,0
204,I AM SUCH A CREEPER I feel disappointed cyberstalking skills internet privacy,negative,-1
205,going bed late I headache,negative,-1
206,happy mother day moms ...,positive,1
207,Grabbing coffee making mom breakfast,neutral,0
208,im thinking im going fun tonight .... maybe changes coming,positive,1
209,thanks major chop,neutral,0
210,Haha I know I cant handle fame thank,positive,1
211,got updated ipod,neutral,0
212,yes sober HAHAHA tanghaling tapat dude haha WILD knowwww plan plan go US,positive,1
213,We never miss ICarly son huge crush Miranda,positive,1
214,Saw James carville store today His head really bald,neutral,0
215,yellow http //blip.fm/~5z05g,neutral,0
216,means going come back vancouver way hahah,neutral,0
217,Feeling smooth like chrome,positive,1
218,Ew traffic,negative,-1
219,downloading songs trying sneak lil homework main priority songs lol,neutral,0
220,_Ra_Ra_ alone ... need coffee,neutral,0
221,Sounds like,neutral,0
222,Bad day The day realize mess put one happiest days life ...,neutral,0
223,Walking class I hate bike .... especially mine,negative,-1
224,_nesmith,neutral,0
225,failed inspection Did know pass wo/oven wo/anti-tip bracket sold w/oven This worse taxes,negative,-1
226,JONAS BROTHERS Live party It rocking hard I love song,positive,1
227,happy mother day mothers world,positive,1
228,35mins 1hr 20mins Google Wave demo looks lot fun would love test though http //bit.ly/WnMSc,positive,1
229,Sleepy Tabz heading bed Fun night Listened next episode Joss,positive,1
230,The exception short dude Larenz fineass Tate yum,neutral,0
231,Screw reviews I thought Wolverine awesome But enough Dominic Monaghan liking,positive,1
232,If followed us recently PLEASE dont offended followed back We hit limit Hopefully free soon,positive,1
233,Yes work 6 3 ...,neutral,0
234,Hmmm maybe meant They eluded something brand new know media,neutral,0
235,Done spa meeting vic late lunch,neutral,0
236,Happy monday going tavares today Hope everyone blessed day,positive,1
237,Always wanted go Oz,neutral,0
238,Thx,neutral,0
239,http //twitpic.com/4jaz5 Cool ... luv,positive,1
240,I need ... To represent Blackberries,positive,1
241,Okay I dedicating 300th tweet fact I going Apple store HUGE crack glass screen,neutral,0
242,If could ever actually allowed stay,neutral,0
243,Let know turns,neutral,0
244,sass I detect As long back sass Haha,neutral,0
245,yeah I thinking ahaha,positive,1
246,Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether helps Google ki jai ho,neutral,0
247,I sleeping accepts appology,negative,-1
248,Wolverine Was BOSS Seriously And Will.I.Am Was In It What The,negative,-1
249,I live pain bring,neutral,0
250,okay back later,neutral,0
251,powerblog What powerblog challenge keep talking I newbie follower,neutral,0
252,almost died Laptop screen set 100 brightness I reinstalled Windows Vista Got headache insanedefaults,positive,1
253,Waiting tish get Got drive moms CRV pick duckie First time,neutral,0
254,Trying decide movie friends .. going well lol p No bible study 2nite means -day cake buy,negative,-1
255,going shower want smell school tomorrow,neutral,0
256,Sigh ... know I ...,neutral,0
257,discovered cause bug new NetPLAYER 4 build Publishing bug fix hopefully new beta tomorrow,positive,1
258,Here 4 FREE twitter tools get followers http //short.to/511q http //jijr.com/hulz http //short.to/511r http //2ve.org/xPG0/,neutral,0
259,got home work .... chugging big bottle apple juice,neutral,0
260,Yes Please dont go If die I cry .. normally leads small animals getting harmed,negative,-1
261,writing report cards soooo tired amazing day check fb soon,positive,1
262,big brother ... I done,neutral,0
263,good news finally finished EASactive workout paused 6 hours bad news resistance band torn,neutral,0
264,Well good morning What wonderful day neighborhood Thanks following another 60 morning,positive,1
265,FTSK Mercy Mercedes amazing tonight .. always,positive,1
266,hope ok,positive,1
267,school done already hurts much ... seeing every day,positive,1
268,I waited listening wind blowing tumbleweed Are none old enough know someone says 'Crackerack,neutral,0
269,Hell Yeah,neutral,0
270,HIM shirt dinner Do need ask Does actually Ville,neutral,0
271,know,neutral,0
272,huh Smelly Noooo I love alex Vixon,neutral,0
273,Went party last night Dindin I showed matching outfits GREAT MINDS THINK ALIKE Anyway happy birthday ate lara,positive,1
274,Happy b-day Just woke side Earth wishes bit late,positive,1
275,thank teaching values better person day I LOVE SO MUCH YOU RE THE BEST MUM IN THE WORLD,positive,1
276,HAPPY MOTHERS DAY,positive,1
277,laughs I glad self confidence wonderful trait I applaud extra loud okay,positive,1
278,Thanks,positive,1
279,twittering 2 days,neutral,0
280,Getting ready week Its nice today stuck inside working,positive,1
281,I tres depressed,negative,-1
282,Felt like behaved like son ate compensate Pigged home-roasted sugar almonds Painful tum threw still feel sick,negative,-1
283,Happy Mothers Day people love mom lot still,positive,1
284,I sorry hear,negative,-1
285,That awesome dude yay surprise celebrities I got meet years ago soooo friendly,positive,1
286,makes happy hear girl talk tweet nba ... could give nuggets love,positive,1
287,Is getting hang Twitter,neutral,0
288,You know neck jacked forced pay parking bc turn head parallel park free spaces ...,negative,-1
289,I want BACK NOW http //bit.ly/PP1WZ,neutral,0
290,Going miss roomie ... We longer roomies starting tomorrow,negative,-1
291,bathing two little angels Keyla Janice,neutral,0
292,Yep finished chocked full spelling grammatical errors I cleaning tomorrow popping hehe,negative,-1
293,HAHAHHA lol true always remember BD never remember date even day,neutral,0
294,Family hanging,neutral,0
295,Watching Ellen Love dishes tanning ... gorgeous,positive,1
296,goin hun I worried,negative,-1
297,Im bannished ... I work till 6,negative,-1
298,Morning If I get see I let know Right I going go see Wolverine,neutral,0
299,red top tabloids build em knock em,neutral,0
300,tonight party w/ girls minus vita,positive,1
301,made sad I thought jumping joy,neutral,0
302,Simple,neutral,0
303,The pics I uploaded baby pics cats Missy adult pretty little kitty Batty kitten heaven,neutral,0
304,I saw play amazing,positive,1
305,glad break twitter virginity two,positive,1
306,Dinner fam ... I missed,negative,-1
307,_Live That I want More better Bound bad eggs though soon learn,neutral,0
308,Hell yeah Kellynn got Twitter Finally,neutral,0
309,I know It worth shot though,positive,1
310,Just opened facebook account I little confused I really get Twitter seems much better,positive,1
311,Ship I stuck,negative,-1
312,DUSTBIN BABY ON AT 11.30 Can wait x,positive,1
313,Not going dwell It happened passed Just shame supportive Such life x,negative,-1
314,nan,neutral,0
315,It looks like office TV DOES get MLB Network ... looks like MLBN NOT televising DET/BAL game today wieters,neutral,0
316,Home empty handed No comics found today I shall indulge cupcakes Magnolia Bakery,neutral,0
317,Laying bed til workkk ... Oh life Definitely pinched nerve,negative,-1
318,today busy day exhausting,negative,-1
319,I going go Sunday I got much going weekend,neutral,0
320,Sorry hear ur flight got cancelled blows,negative,-1
321,ohh tooth hurts ohh im sad hurts,negative,-1
322,Before I get distracted I like thank new followers taking trouble follow And others feelin love,positive,1
323,u think u bills Ha Ii finished paying mine I broke,negative,-1
324,Not sure say 2 big I jst saw pics u ur last bday You looked pretty I miss,neutral,0
325,sore throat Planning TET outing Marwell though ... good times,neutral,0
326,mcfly gig last nightt omg amazin didnt sit whole thing mcfly see best mate tutus,positive,1
327,2 days without sleep migraine I thought life postR01 meant relaxing,negative,-1
328,There,neutral,0
329,sucks ..,negative,-1
330,whens sway sway winner announced,neutral,0
331,K check ...,neutral,0
332,pretty well wide awake,positive,1
333,want wake early get coffee tomorrow today going busyy day keep writing .. booo whoo,neutral,0
334,I Miss Daddy Mommy,negative,-1
335,My dog officially depressed brother dogs gone He want go outside play half-heartedly,negative,-1
336,I realized I forward text msgs iPhone,neutral,0
337,My frist post ... Off find new car parents exciting,positive,1
338,Argh noo Missed The Killers Wossy That sucks Missed Brandon Total failure Anyone know repeated Must investigate,negative,-1
339,seriously bored without anyone talk ... tired enough sleep,negative,-1
340,I lost Please help find good home,negative,-1
341,It Peter Gordon morning And I go pieces I wan na hide Go pieces I almost die Ever ... http //blip.fm/~5yk38,neutral,0
342,Ok I got bit bad back lifting drum hardware car downer,negative,-1
343,LMAO ... Smh one threw,neutral,0
344,oh nice going,positive,1
345,Is getting ready work ... Working weekend,neutral,0
346,Gon na celebrate Mothers Day family gon na start partying tonite,positive,1
347,agree,positive,1
348,I computers Am hopeless everything else,negative,-1
349,90 degrees gross skies thunderstorms ... perfect match mood lol,positive,1
350,_2nd aww thanks,positive,1
351,Sorry RB PS3,negative,-1
352,I saw amazing heeels But big,neutral,0
353,I stuck finger throat bunch bumps tongue throat,negative,-1
354,dang last url went http //blip.fm/~7aigm,negative,-1
355,ohoh missed ur tweets im gon na stay awake night see announcement time difference,negative,-1
356,Damnit That sucks You one ones I thought I drag back lol,negative,-1
357,boss She moving NYC,neutral,0
358,sooo crazy fever ..,negative,-1
359,spending Saturday morning taking notes research essay stupid recalled book I using Not fair,negative,-1
360,I think need new friends,neutral,0
361,Looking forward gig Ireland See ya,neutral,0
362,Please Review Sunehre Ad Placement http //tinyurl.com/oow6mk,positive,1
363,aww loooove,positive,1
364,hungry twitter want food /3,neutral,0
365,awesome lucky,positive,1
366,yea know .. tell EVERYTHING ps send direct messages telling .. haha,neutral,0
367,haha im jewish love one,positive,1
368,great time beer garden wit boyos I think sun got bit though feel bit ill,neutral,0
369,l 3 days matt No fun weekend,negative,-1
370,u really think maybe ur right .... lol btw phone u using think u told b4 ... might app u,neutral,0
371,I feel pain Mine way,negative,-1
372,comes home two days,neutral,0
373,Sadly It come one ...,negative,-1
374,Cant wait see boy tomorrow,positive,1
375,ehhh check I dentist app next week though getting molar pulled/root canal,neutral,0
376,aww I miss driving elmwood,negative,-1
377,Omg Wango Tango AWSOME I love baby taking,positive,1
378,Version 2 live interactive Trans-Siberian ticket planner launched http //tinyurl.com/c5ljwm cool,positive,1
379,_30439 I really wish I could go,positive,1
380,yeah real hard I know get ... smile,neutral,0
381,I 25 december good next big birthday 30 21 flys sure,negative,-1
382,This made night Way funny,positive,1
383,Woo CAVS Happy Mother Day,positive,1
384,I make face I get home mom watching soaps,neutral,0
385,I go work,neutral,0
386,I believe went got boba without,neutral,0
387,And today,neutral,0
388,Thanks warm welcome We make plans arrival time air,positive,1
389,19 days counting,neutral,0
390,sorry friends I swamped deadlines right family visiting boot No charades,negative,-1
391,BRAINFREEZE,neutral,0
392,Just discovered shortcoming Gravity When use Twitpic integrated subtract pic URL 140 character limit,neutral,0
393,My sunburn peeling,negative,-1
394,perky purple nail polish perky chipped,neutral,0
395,http //twitpic.com/4sx96 put CAMERA smokers pit longer vandalize door without caught,neutral,0
396,Laying ALONE Since Mook soo comfy f n play pen I thought ill first I one cuddle ...,negative,-1
397,I hate dentist,negative,-1
398,nothing aimed joining ... sorry,negative,-1
399,I taking twitter break Cell dying,negative,-1
400,qood morninq,neutral,0
401,writing english original writing storyyyyy listening little respect erasure aaaaaah,neutral,0
402,needs followers,neutral,0
403,I wish I could get nails done stupid job,negative,-1
404,The little wormy labyrinth sadly passed away today ok hes still around happy ghost form aww http //twitpic.com/67aim,neutral,0
405,'no pants idea could new attempt world-wide attract business back airlines,neutral,0
406,Have good one,positive,1
407,yep infact popular miss india 99 talented film actress .... lot,positive,1
408,Dosen Want To Go To Work Tomorrow,negative,-1
409,Daniel DSDS His voice great,positive,1
410,-O wish birthday massacre would come australia think said thinking tho .. http //tinyurl.com/p6lfch,neutral,0
411,hoping go Red Lobster weekend,neutral,0
412,_x_ATL u mean jack barakat wow u ever gone house Hehe mean ur ssoo lucky address,positive,1
413,I sure hope becomes 4:20 afternoon ...,positive,1
414,means FAMOUS Congrats,positive,1
415,My phone passed away yesterday .. He jumped table Searching new phone ...,negative,-1
416,I fantastic friends including several ones met thanks life amazing people,positive,1
417,tamlyn wishes cool sock draw,positive,1
418,rice crusty bread chili .... aawww,neutral,0
419,We like minds evening dear,neutral,0
420,come save packing please,neutral,0
421,Yes I love tea If makes typically English,positive,1
422,mouth sure,positive,1
423,_dec0de I finally 1 hour history ... 3.00 pm I went highschool 8.00 make homework friend,neutral,0
424,pancakes lemon sugar thanks,positive,1
425,Si bueno I guess I entertain,negative,-1
426,I hunrgy right heels kill I hardly walk,negative,-1
427,electronic keys stopped working keyhole cant get car much technology,negative,-1
428,Yay three followers Good know one person big wide world likes fishies,positive,1
429,'my name Tony ... hey poor tony,negative,-1
430,Goodmorning,positive,1
431,Took shift tomorrow I really feel like working right,negative,-1
432,I love mine happy motherï¿½s day mom John Taylor much love,positive,1
433,Saw black snake garden Went back picture gone,neutral,0
434,http //twitpic.com/4wukt We bought Ludi rug Dogs best,positive,1
435,No waterfront anymore faccia luna clarendon,negative,-1
436,loves mum much Happy Mothers Day wonderful mothers,positive,1
437,Slipped caught flu feeling like poop,negative,-1
438,urge play wow wait 2 weeks til im dads 5+47DAYS TIL MCFLY im excited L,positive,1
439,Ok ... passengers ... one alive ... dead ... know til end ... cry ...,negative,-1
440,Discovered sharing G reader even know Sigh .... I G reader newb,neutral,0
441,chilled tonite spew venom write funny Seems like 2 styles,neutral,0
442,If u please pray 4 Lord knows I need,neutral,0
443,aaaaaw want live USA,neutral,0
444,Morning tweeple,positive,1
445,Hey I get,neutral,0
446,Now 2 hours sleep ... Rest need,positive,1
447,That makes day much better rough one Did I mention I love new photo,neutral,0
448,I want sit home prom night Someone hang,negative,-1
449,Is heading home foot surgery wishing boyfriend come cuddle,positive,1
450,concert tonight chackin coming tomorrow,neutral,0
451,happened I thought coming back today ....,neutral,0
452,lol dammit well next time,negative,-1
453,lol ever forget,positive,1
454,Still jealous,negative,-1
455,http //twitpic.com/67qv3 Me Forever 21 Ethan,negative,-1
456,NOW IM SAD BUT IM NOT GIVING IN FIRST .. I DIDNT DO NOTHING,negative,-1
457,week mine easy finally,negative,-1
458,Wow beautiful picture ... way .... I straight .... wanted let know Bella,positive,1
459,In Arch Drawing Checking MVCC CAD degree Looks good,positive,1
460,'there people pencils sharp sharpened pencil philosophy .....,neutral,0
461,go home I usually mr. positive one daze well 15 mins tomorrow,neutral,0
462,always lee Let go Paris,neutral,0
463,know want come keep company whilst mum friends night nice evening,positive,1
464,cooking dad lots fun kitchen together,positive,1
465,Bouncing Rush makes feel nauseous,negative,-1
466,Off Woolsery morning hopefully see North Molton U16 clinch North Devon League title Lovely day,positive,1
467,playing singstar without fave duetter,negative,-1
468,missing bb cereal nut think like every kind available,positive,1
469,That weird ... Oh drawing,negative,-1
470,Just woke mums singing new gn r cd replacement bought im good daughter,positive,1
471,The birds oh man ... That NOT cool I sleep yet night,negative,-1
472,250 miles 1750 go Thats ok u2 radio alwas helps,positive,1
473,My Street Fighter IV skills lacking beat Seth easy,negative,-1
474,FIL 461 cool people like,positive,1
475,Good Morning Work ESPN Sunday night Baseball hopefully get rained,positive,1
476,think honeymoon good life -- either honey moon joseph arthur,neutral,0
477,son got stung bug first time little finger slightly swollen,negative,-1
478,hours ago came .... realised went buy something online,neutral,0
479,oh referring lil exchange LJ regards twitter archive postings,neutral,0
480,Bumping dj opus drunk car lmao Don act like u know,negative,-1
481,Why kiss feet people kick anything want morning everyone Hope best day ever,positive,1
482,Here brief preview http //bit.ly/eHCfP OMG James creepy role I scared,negative,-1
483,I missing crab legs attending going away instead,negative,-1
484,Hicks mean,negative,-1
485,gettn ready take trip Jersey dad good needs new heart~whoeva see please say prayer dad,negative,-1
486,back soon need run shops cut grass,neutral,0
487,I I plan transform bedroom today Random,neutral,0
488,Home tomorrow Did running spinning Now time chiropractor laundry shopping visiting family Missing nathan,negative,-1
489,thats another sponsor,neutral,0
490,And us going stuck office without windows,negative,-1
491,No sad Should make proud,negative,-1
492,Sorry try keep,negative,-1
493,home alone .. Doing hw,neutral,0
494,According quarter families six live poverty,negative,-1
495,plan spend money going well,negative,-1
496,uploading bamboozle pictures facebook,neutral,0
497,congratulations guys finish month early booo,positive,1
498,actually I wish I back Tahoe I miss,negative,-1
499,Woke Up I Wan na Stay In My bed,neutral,0
500,bday JUNE 19 .. wack ... ihavent seen promotions bday party someone better finagle asap,negative,-1
501,It would great VIPS acts I enjoy seeing noooo,neutral,0
502,_Marie Wish I could make I hate commute sometimes,neutral,0
503,workin long day today ... hopefully make good tips,positive,1
504,went quick chance lol,negative,-1
505,Hates headaches Maybe I ready rock,negative,-1
506,Thanks support,positive,1
507,really android twitter app Tweetie calibre,neutral,0
508,good day driving mountains visiting katie eating chips fudge stocking lovely smelling soaps,positive,1
509,Nyappy mother day mom,positive,1
510,yeah .... im gon na take ur picture ipod baby ..,neutral,0
511,traumatizing moment childhood dogs massacred baby bunnies brother got bb gun ...,negative,-1
512,lol .... wish way microsize everything ... lol,neutral,0
513,'organization ... ITIL forget people fail preaching converted IT people http //tr.im/kWUA,negative,-1
514,_Libertine um glad enjoyed ...,positive,1
515,About dinner evening playing cards Already packed ready head home tomorrow Do go home,neutral,0
516,im allergic cats tonsils get swollen hurt dooo,negative,-1
517,He says feels mama tucking night He lonely getting Tomorrow tough,negative,-1
518,I miss alot one day,negative,-1
519,sounds like great night glad successful,positive,1
520,Thanks sharing,positive,1
521,say mlia instead fml hope find soon,positive,1
522,Garden going well almost corn peas onions beets yet though,positive,1
523,nah jkin hot ... bored,neutral,0
524,Ahhh sqeaky clean fresh Even though wearing dirty clothes I love Two Half Men amazing,positive,1
525,yes read many times,neutral,0
